timestamp;LoadavgPercent_MIN;LoadavgPercent_MAX;LoadavgPercent_AVERAGE;ldavg-1_MIN;ldavg-1_MAX;ldavg-1_AVERAGE;ldavg-5_MIN;ldavg-5_MAX;ldavg-5_AVERAGE;ldavg-15_MIN;ldavg-15_MAX;ldavg-15_AVERAGE;runq-sz_MIN;runq-sz_MAX;runq-sz_AVERAGE;plist-sz_MIN;plist-sz_MAX;plist-sz_AVERAGE;blocked_MIN;blocked_MAX;blocked_AVERAGE
1615265400;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615265460;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615265520;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615265580;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615265640;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265700;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265760;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265820;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265880;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265940;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615266000;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615266060;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615266120;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615266180;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615266240;0.24;0.24;0.24;0.0384;0.0384;0.0384;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266300;0.24;0.24;0.24;0.0384;0.0384;0.0384;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266360;0.24;0.24;0.24;0.0384;0.0384;0.0384;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266420;0.24;0.24;0.24;0.0384;0.0384;0.0384;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266480;0.24;0.24;0.24;0.0384;0.0384;0.0384;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266540;0.36958333333;0.36958333333;0.36958333333;0.059133333333;0.059133333333;0.059133333333;0.039566666667;0.039566666667;0.039566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615266600;0.36958333333;0.36958333333;0.36958333333;0.059133333333;0.059133333333;0.059133333333;0.039566666667;0.039566666667;0.039566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615266660;0.36958333333;0.36958333333;0.36958333333;0.059133333333;0.059133333333;0.059133333333;0.039566666667;0.039566666667;0.039566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615266720;0.36958333333;0.36958333333;0.36958333333;0.059133333333;0.059133333333;0.059133333333;0.039566666667;0.039566666667;0.039566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615266780;0.36958333333;0.36958333333;0.36958333333;0.059133333333;0.059133333333;0.059133333333;0.039566666667;0.039566666667;0.039566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615266840;0.015;0.015;0.015;0.0024;0.0024;0.0024;0.0112;0.0112;0.0112;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
